Id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
1,591000,3,1.75,1680,2400,1,0,0,5,870,810,1922,1956,1600-1608 25th Ave,Seattle,WA 98122,USA
2,415000,4,2.25,3060,48787,2,0,0,3,3060,0,1992,0,31701-31799 SE 291st St,Ravensdale,WA 98051,USA
3,402000,3,2.5,1960,8000,1,0,0,4,1290,670,1977,0,12207 NE 139th Pl,Kirkland,WA 98034,USA
4,542525,4,2.5,2650,5600,2,0,0,3,2650,0,2014,0,13516 164th Ave SE,Renton,WA 98059,USA
5,515000,3,2.5,2010,7200,2,0,0,3,2010,0,1994,0,8818 NE 150th St,Kenmore,WA 98028,USA
6,692000,4,3.25,5010,34460,2,0,0,3,5010,0,1988,2000,6265 160th Ave SE,Bellevue,WA 98006,USA
7,650000,3,1.75,2920,9370,1,0,0,4,1620,1300,1981,0,14245 SE 60th St,Bellevue,WA 98006,USA
8,295000,4,2,980,10640,1,0,0,5,980,0,1978,0,17026 426th Ave SE,North Bend,WA 98045,USA
9,784000,3,3.5,3950,111078,1.5,0,0,3,2460,1490,1989,0,19851 NE Redmond Rd,Redmond,WA 98053,USA
10,706000,3,2.75,1900,6400,1,0,0,5,1410,490,1942,0,4324 NE 56th St,Seattle,WA 98105,USA
11,346500,2,1.75,1610,6300,1,0,0,3,1010,600,1941,1994,5404 Columbia Dr S,Seattle,WA 98108,USA
12,566000,3,2.25,1660,10140,1,0,0,4,1370,290,1980,0,9828 159th Pl NE,Redmond,WA 98052,USA
13,1815000,5,3,3880,13000,2,0,0,3,3880,0,1972,2003,7845 SE 62nd St,Mercer Island,WA 98040,USA
14,515000,3,2.5,3370,19585,2,0,0,3,3200,170,1951,1994,15043 Densmore Ave N,Shoreline,WA 98133,USA
15,310000,3,2.5,2540,4775,2,0,0,3,2540,0,2006,0,21720 SE 299th Way,Kent,WA 98042,USA
16,221000,3,2.25,1640,7350,1,0,0,3,1140,500,1984,0,37724 26th Dr S,Federal Way,WA 98003,USA
17,152000,3,1,1090,3264,1,0,0,4,1090,0,1969,0,11845 SE 319th Pl,Auburn,WA 98092,USA
18,725000,6,1.75,2380,4080,2,0,0,3,2380,0,1917,2009,4554 Latona Ave NE,Seattle,WA 98105,USA
19,622500,4,2.5,2980,8107,2,0,0,3,2980,0,2000,0,34823 Rhododendron Dr SE,Snoqualmie,WA 98065,USA
20,360000,4,2.5,2380,5000,2,0,0,3,2380,0,2005,0,22840 SE 269th St,Maple Valley,WA 98038,USA
21,739000,3,2.5,2810,5400,2,0,0,3,2810,0,2005,0,11814 167th Pl NE,Redmond,WA 98052,USA
22,260000,4,2.5,2000,37045,2,0,0,3,2000,0,1989,0,29204 202nd Ave SE,Kent,WA 98042,USA
23,224000,3,1.5,1560,7300,1,0,0,4,1040,520,1964,0,4205 S 288th Pl,Auburn,WA 98001,USA
24,1395000,5,3.5,4010,8510,2,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA
25,915000,3,3.25,2660,4000,2,0,0,3,2170,490,2003,0,3414 E Denny Way,Seattle,WA 98122,USA
26,415000,3,2.75,2600,64626,1.5,0,0,3,2600,0,2009,0,69506 NE Money Creek Rd,Skykomish,WA 98288,USA
27,1230000,3,1.75,2200,14630,1.5,0,1,3,2200,0,1948,2003,9329 SE Shoreland Dr,Bellevue,WA 98004,USA
28,331950,4,2.5,2530,9933,2,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA
29,866059,5,3.5,3130,4797,2,0,0,3,2570,560,2014,0,15845 SE 44th Ct,Bellevue,WA 98006,USA
30,170000,2,1,1200,24792,2,0,0,2,1200,0,1976,0,3009 W Ames Lake Dr NE,Redmond,WA 98053,USA
31,739000,4,3,2720,3800,2,0,0,5,1800,920,1919,1934,6326 20th Ave NE,Seattle,WA 98115,USA
32,405000,3,1.75,2470,9620,1,0,1,4,1570,900,1962,0,1018 S 226th St,Des Moines,WA 98198,USA
33,320000,4,2.25,2310,7490,2,0,0,3,2310,0,1980,0,11131 SE 183rd Pl,Renton,WA 98055,USA
34,240000,3,1.75,1570,8750,1,0,0,3,1570,0,1960,2012,17820 1st Avenue South,Burien,WA 98148,USA
35,550000,3,2,1810,4064,1.5,0,0,3,1810,0,1925,2002,7820 Ashworth Ave N,Seattle,WA 98103,USA
36,350000,3,2.25,1640,7200,2,0,0,4,1640,0,1985,0,1755 140th Ct SE,Bellevue,WA 98007,USA
37,315000,2,1,790,6969,1,0,0,3,790,0,1955,1984,10830 132nd Ave NE,Redmond,WA 98052,USA
38,551000,3,2.5,2830,5802,2,0,0,3,2830,0,2001,0,7928 NE 182nd Pl,Kenmore,WA 98028,USA
39,532000,4,1.75,2020,7029,1,0,0,4,1430,590,1979,0,10916 159th Ave NE,Redmond,WA 98052,USA
